x,y,insect.M.distribution80t1.3_PA2_RUN1 logistic values
-47.525,35.0639,0.5
-149.36,-59.8952,0.5
-107.5,81.9,0.5
-98.1,81.3,0.5
-172.1,80.1,0.5
-123.7,79.7,0.5
167.9,77.7,0.5
119.9,74.7,0.5
-125.3,74.3,0.5
-127.1,73.7,0.5
-24.1,61.5,0.5
-0.299999999999983,57.7,0.5
-26.9,56.9,0.5
68.9,55.3,0.5
78.9,53.9,0.5
37.1,52.9,0.5
50.9,52.5,0.5
10.1,51.3,0.5
51.5,50.7,0.5
66.9,48.5,0.5
24.1,43.5,0.5
2.10000000000002,42.7,0.5
-23.5,42.3,0.5
41.3,40.7,0.5
57.3,40.1,0.5
35.9,38.9,0.5
10.1,38.3,0.5
37.7,38.3,0.5
36.1,37.9,0.5
39.5,36.5,0.5
87.5,35.5,0.5
24.1,35.1,0.5
78.5,34.9,0.5
74.5,33.7,0.5
-4.09999999999999,31.9,0.5
73.7,29.3,0.5
88.5,27.1,0.5
29.5,22.7,0.5
65.3,22.5,0.5
12.5,15.3,0.5
11.1,14.3,0.5
120.5,13.5,0.5
39.9,7.5,0.5
18.5,5.5,0.5
38.5,4.89999999999999,0.5
31.9,4.69999999999999,0.5
-43.7,3.09999999999999,0.5
36.9,1.69999999999999,0.5
26.5,1.09999999999999,0.5
25.3,0.899999999999991,0.5
109.9,0.699999999999989,0.5
0.5,0.0999999999999943,0.5
6.70000000000002,-0.100000000000009,0.5
-37.3,-1.5,0.5
36.9,-1.5,0.5
13.7,-1.7,0.5
16.7,-4.90000000000001,0.5
12.7,-6.30000000000001,0.5
35.9,-6.30000000000001,0.5
1.30000000000001,-7.7,0.5
32.3,-8.10000000000001,0.5
27.5,-11.1,0.5
-42.5,-13.3,0.5
-44.9,-15.7,0.5
-54.3,-16.3,0.5
-40.9,-19.9,0.5
19.7,-23.9,0.5
-41.9,-24.5,0.5
-37.5,-25.7,0.5
54.9,-25.7,0.5
-49.3,-26.5,0.5
61.9,-29.3,0.5
15.1,-31.3,0.5
13.1,-31.5,0.5
17.3,-33.9,0.5
26.5,-35.5,0.5
-42.3,-35.7,0.5
-53.9,-36.7,0.5
48.7,-36.7,0.5
0.700000000000017,-42.3,0.5
17.1,-43.1,0.5
146.5,-49.7,0.5
140.7,-50.1,0.5
117.9,-50.3,0.5
154.7,-51.3,0.5
105.1,-52.9,0.5
115.1,-54.1,0.5
107.9,-54.3,0.5
138.5,-54.7,0.5
128.5,-58.5,0.5
122.9,-58.9,0.5
113.5,-61.7,0.5
146.1,-63.5,0.5
145.9,-70.1,0.5
135.1,-70.7,0.5
122.9,-71.5,0.5
17.5,-72.5,0.5
8.30000000000001,-75.1,0.5
64.3,-75.1,0.5
16.1,-78.9,0.5
109.9,-79.5,0.5
96.3,-79.9,0.5
